APP_ID, CIBIL_SCORE_VALUE ,NEW_CUST,CUS_CATGCODE , EMPLOYMENT_TYPE ,AGE, SEX  , NO_OF_DEPENDENTS , MARITAL , EDU_QUA,  P_RESTYPE , P_CATEGORY , EMPLOYEE_TYPE ,  MON_IN_OCC , INCOM_EXP_GMI ,LTV, TENURE ,STATUS
37709,2,NO,1,1,30,F,3,1,1,0,2,1,72,1,0.849730106,24,0
37711,0,YES,1,1,26,F,3,0,0,0,2,1,12,0,0.790939003,24,1
37713,2,NO,1,1,34,M,2,1,1,0,2,1,18,1,0.847307336,12,0
37715,0,YES,1,1,27,F,2,1,0,2,2,1,24,0,0.617688117,24,1
37717,2,NO,1,0,29,F,2,1,0,0,2,0,120,1,0.780353812,36,0
37719,0,YES,1,0,40,F,3,0,1,0,1,0,216,1,1,12,0
37721,1,NO,0,0,47,F,2,1,0,0,2,0,336,1,0.715563506,36,0
37723,2,NO,1,0,38,F,2,1,0,0,2,0,24,1,0.581006885,24,0
37725,1,NO,1,1,25,F,2,0,0,0,2,1,36,0,0.586803711,36,1
37727,2,NO,0,1,45,M,3,0,0,1,2,1,108,1,0.837973222,36,0
37729,2,NO,1,1,35,M,3,1,0,0,2,1,12,0,0.840775756,24,1
37731,1,NO,1,0,28,F,3,1,0,0,2,0,60,1,0.839199164,24,1
37733,2,NO,1,0,21,F,3,0,0,0,2,0,12,0,0.617688117,36,0
37735,0,YES,1,1,24,F,2,0,0,0,2,1,15,0,0.607249343,36,1
37737,2,NO,1,1,28,F,2,1,1,0,2,1,36,0,0.780353812,36,0
37739,2,NO,1,1,31,F,3,0,1,0,1,1,36,0,0.852079073,36,1
37741,0,YES,0,1,24,F,3,0,1,1,1,1,24,1,0.509038135,24,0
37743,1,NO,1,1,25,F,3,0,0,1,2,1,60,1,0.852409601,36,1
37745,0,YES,1,0,32,F,3,1,1,1,1,0,72,1,0.752646021,36,0
37747,0,YES,1,1,39,F,3,0,0,0,1,1,24,0,0.859791533,36,0
37749,0,YES,1,1,35,F,2,0,1,0,1,1,12,0,0.662822297,24,0
37751,2,NO,0,1,29,F,3,1,1,0,1,1,30,0,0.657444186,24,0
37753,2,NO,1,0,39,F,3,0,1,0,1,0,120,1,0.56000896,18,1
37755,0,YES,1,1,49,F,2,1,1,0,1,1,144,1,0.837323143,12,0
37757,1,NO,1,0,51,F,2,1,1,0,1,0,192,1,0.853113946,24,0
37759,0,YES,0,1,21,F,1,0,1,0,2,1,24,0,0.971330096,24,0
37761,0,YES,1,1,29,F,2,0,0,1,1,1,132,0,0.754876523,24,0
37763,0,YES,1,1,42,M,2,0,0,1,1,1,36,0,0.898496716,24,1
37765,2,NO,1,1,25,F,2,1,1,0,1,1,48,0,0.83396377,36,0
37767,0,YES,1,0,44,F,3,1,0,0,1,0,36,0,0.864461892,24,0
37769,2,NO,0,1,22,F,1,0,1,0,1,1,24,0,0.928390171,24,0
