Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
05-Mar-19,15.3,20.95,15.3,18.5,19.25055323,20335,27,391460,19556,96.17,5.65,3.2
01-Mar-19,18.2,20,16.95,19,18.35699848,3958,14,72657,3956,99.95,3.05,0.8
28-Feb-19,17.9,18,17.9,18,17.9999375,16001,5,288017,16001,100,0.1,0.1
27-Feb-19,17,17.85,15.05,17.85,17.16666667,6,4,103,4,66.67,2.8,0.85
26-Feb-19,17.9,18.05,17.9,17.95,17.97443601,19637,13,352964,19637,100,0.15,0.05
25-Feb-19,17.55,18.05,17.25,18.05,17.82969662,17140,16,305601,17140,100,0.8,0.5
22-Feb-19,15,17.25,15,17.25,15.15384615,26,2,394,26,100,2.25,2.25
21-Feb-19,17.65,17.65,17.65,17.65,17.65,100,2,1765,100,100,0,0
20-Feb-19,17.75,19.35,17.75,17.75,17.96335079,382,10,6862,382,100,1.6,0
19-Feb-19,18.45,19.8,18,18,18.14409222,17003,16,308504,17003,100,1.8,-0.45
18-Feb-19,19,21.95,17.5,18.35,18.12544871,15879,58,287814,14037,88.4,4.45,-0.65
15-Feb-19,18.5,21,17.25,20.95,18.01855851,14818,24,266999,14676,99.04,3.75,2.45
14-Feb-19,17.95,21,17,20.8,17.78490566,2650,28,47130,2479,93.55,4,2.85
13-Feb-19,18.55,20,17.65,18.1,18.08458484,27700,43,500943,22610,81.62,2.35,-0.45
12-Feb-19,17.85,21.65,17.85,21.65,18.01156069,1038,8,18696,1038,100,3.8,3.8
11-Feb-19,19.25,22.7,17.85,18.15,19.13193518,5245,24,100347,5230,99.71,4.85,-1.1
08-Feb-19,19.7,19.7,18,19.55,18.9196992,19016,30,359777,5795,30.47,1.7,-0.15
07-Feb-19,18.35,19.45,18,19.45,18.25504484,1784,13,32567,1783,99.94,1.45,1.1
06-Feb-19,18.6,18.95,16.7,18.5,16.87683824,544,23,9181,516,94.85,2.25,-0.1
05-Feb-19,18.7,19.75,18.5,18.5,18.98186813,1820,14,34547,1819,99.95,1.25,-0.2
04-Feb-19,18.55,18.55,17.7,18.5,18.33191654,2588,18,47443,2588,100,0.85,-0.05
01-Feb-19,19.5,19.95,17.2,18.45,18.49063899,4914,46,90863,3065,62.37,2.75,-1.05
31-Jan-19,23.85,27,19.1,19.1,19.90237142,9741,71,193869,4709,48.34,7.9,-4.75
30-Jan-19,20.2,23.85,20.2,23.85,23.66851852,540,5,12781,520,96.3,3.65,3.65
29-Jan-19,19.9,19.9,19.45,19.9,19.79410355,4172,26,82581,4157,99.64,0.45,0
28-Jan-19,19.2,20,19.05,20,19.10310966,6110,21,116720,6110,100,0.95,0.8
25-Jan-19,17.85,19.2,17.8,18.9,17.91694352,1505,13,26965,1505,100,1.4,1.05
24-Jan-19,17.75,17.85,17.6,17.6,17.84893758,3012,10,53761,3012,100,0.25,-0.15
23-Jan-19,17.95,17.95,15.05,17.5,17.82024433,573,21,10211,560,97.73,2.9,-0.45
22-Jan-19,17.8,20.9,17.65,17.8,17.77055134,6058,27,107654,6028,99.5,3.25,0
21-Jan-19,17.55,17.75,17.55,17.75,17.68039136,4906,25,86740,4906,100,0.2,0.2
18-Jan-19,16.5,17.65,16.15,17.5,16.86448598,214,7,3609,214,100,1.5,1
17-Jan-19,16.3,16.3,14.5,15.6,16.20847176,1204,26,19515,1200,99.67,1.8,-0.7
16-Jan-19,15.85,16.45,15.75,16.1,16.01895206,7176,25,114952,7080,98.66,0.7,0.25
15-Jan-19,17,17,15.6,15.85,16.07032008,4124,27,66274,3911,94.84,1.4,-1.15
14-Jan-19,16.75,17.45,14.05,17.4,17.31916917,13673,49,236805,13589,99.39,3.4,0.65
11-Jan-19,15.3,17.5,15.3,17,15.55022286,43526,104,676839,43365,99.63,2.2,1.7
10-Jan-19,17.2,17.2,14.3,15.45,16.11649535,18387,171,296334,15095,82.1,2.9,-1.75
09-Jan-19,20.8,20.8,16.4,17,16.67587582,10533,57,175647,10429,99.01,4.4,-3.8
08-Jan-19,18.6,18.6,17,17.45,17.71921525,7187,55,127348,6799,94.6,1.6,-1.15
07-Jan-19,18.4,18.65,16,18.6,18.59637921,13312,26,247555,13296,99.88,2.65,0.2
04-Jan-19,18.6,18.6,18.5,18.55,18.55,5660,13,104993,5660,100,0.1,-0.05
03-Jan-19,18.4,18.4,18.4,18.4,18.39972337,2892,11,53212,2892,100,0,0
02-Jan-19,18.5,18.5,18.45,18.45,18.44994521,10039,19,185219,10039,100,0.05,-0.05
01-Jan-19,18.6,18.6,18.55,18.6,18.55223881,67,5,1243,67,100,0.05,0
31-Dec-18,18.45,18.45,18.4,18.45,18.41701791,3796,14,69911,3796,100,0.05,0
